blockname,0
QFII重仓,"['000301', '000333', '000423', '000513', '000538', '000651', '000725', '000786', '000848', '000998', '002001', '002008', '002032', '002050', '002080', '002129', '002142', '002241', '002271', '002311', '002352', '002353', '002372', '002410', '002439', '002472', '002585', '002648', '002706', '002747', '002916', '002938', '300003', '300015', '300036', '300037', '300059', '300083', '300136', '300244', '300308', '300347', '300433', '300487', '300616', '300628', '300642', '300685', '300748', '300750', '300763', '300910', '300957', '300973', '600031', '600276', '600298', '600529', '600585', '600598', '600702', '600732', '600741', '600761', '600882', '600885', '600887', '601009', '601012', '601100', '601138', '601155', '601169', '601668', '601799', '601966', '603005', '603113', '603290', '603489', '603565', '603583', '603658', '603737', '603833', '603868', '603986', '688008', '688017', '688018', '688023', '688063', '688200', '688208', '688339', '688363', '688598', '688601', '688686', '688981']"
RCS概念,"['000063', '000839', '000889', '002123', '002197', '002329', '002396', '002400', '002467', '002512', '002537', '002602', '002622', '002908', '300002', '300047', '300051', '300058', '300085', '300213', '300250', '300264', '300287', '300292', '300352', '300399', '300429', '300571', '300608', '300634', '300710', '300959', '600640', '600728', '601567']"
ST板块,"['000005', '000007', '000410', '000502', '000509', '000523', '000525', '000564', '000571', '000585', '000587', '000606', '000609', '000611', '000613', '000616', '000638', '000669', '000670', '000673', '000687', '000707', '000752', '000780', '000802', '000806', '000820', '000835', '000971', '000972', '000980', '000981', '002005', '002021', '002052', '002058', '002072', '002076', '002086', '002089', '002102', '002113', '002122', '002147', '002175', '002188', '002200', '002219', '002259', '002260', '002321', '002323', '002356', '002358', '002427', '002447', '002464', '002470', '002473', '002496', '002499', '002501', '002504', '002535', '002569', '002575', '002586', '002592', '002618', '002619', '002629', '002640', '002656', '002668', '002684', '002692', '002700', '002719', '002766', '002770', '002776', '002872', '300023', '300029', '300038', '300044', '300051', '300064', '300071', '300089', '300178', '300202', '300256', '300269', '300278', '300312', '300313', '300325', '300356', '300367', '300370', '300446', '300495', '300530', '300795', '300859', '600078', '600083', '600084', '600090', '600091', '600093', '600112', '600122', '600139', '600145', '600146', '600182', '600191', '600198', '600209', '600221', '600225', '600226', '600239', '600241', '600242', '600260', '600265', '600275', '600289', '600290', '600291', '600300', '600301', '600306', '600311', '600319', '600365', '600382', '600385', '600387', '600393', '600403', '600408', '600462', '600506', '600515', '600518', '600555', '600568', '600589', '600593', '600595', '600599', '600601', '600608', '600615', '600652', '600654', '600666', '600671', '600695', '600721', '600734', '600766', '600781', '600816', '600856', '600870', '600890', '600896', '600898', '601020', '601113', '603007', '603032', '603157', '603555', '603557', '603729', '603863', '603996']"
一带一路,"['000027', '000035', '000042', '000063', '000065', '000088', '000090', '000151', '000157', '000159', '000400', '000415', '000425', '000498', '000507', '000528', '000557', '000564', '000565', '000582', '000610', '000617', '000635', '000672', '000680', '000703', '000713', '000721', '000777', '000779', '000790', '000797', '000812', '000825', '000837', '000852', '000862', '000877', '000905', '000911', '000928', '000929', '000978', '000982', '001872', '002040', '002047', '002051', '002061', '002063', '002083', '002092', '002130', '002135', '002140', '002146', '002167', '002202', '002204', '002205', '002207', '002266', '002282', '002302', '002307', '002309', '002323', '002342', '002344', '002353', '002365', '002366', '002381', '002438', '002459', '002469', '002475', '002489', '002498', '002520', '002523', '002524', '002534', '002544', '002545', '002554', '002564', '002578', '002593', '002685', '002738', '002742', '002761', '002781', '002800', '002810', '002828', '002937', '002941', '002976', '003002', '003816', '300011', '300024', '300065', '300095', '300103', '300139', '300162', '300177', '300183', '300208', '300213', '300232', '300262', '300345', '300351', '300374', '300407', '300435', '300440', '300459', '300523', '300589', '300594', '300629', '300712', '300732', '300789', '300795', '300808', '300809', '300818', '300823', '300865', '301048', '301058', '301079', '600010', '600017', '600018', '600023', '600026', '600028', '600031', '600039', '600057', '600072', '600075', '600089', '600105', '600118', '600125', '600146', '600150', '600157', '600170', '600176', '600179', '600190', '600202', '600217', '600219', '600248', '600256', '600262', '600279', '600282', '600307', '600312', '600320', '600338', '600339', '600350', '600354', '600368', '600406', '600415', '600425', '600428', '600436', '600449', '600475', '600477', '600487', '600491', '600495', '600496', '600502', '600509', '600512', '600515', '600522', '600528', '600540', '600545', '600580', '600581', '600583', '600585', '600629', '600691', '600705', '600706', '600710', '600712', '600717', '600720', '600738', '600751', '600755', '600759', '600778', '600785', '600794', '600798', '600801', '600820', '600853', '600869', '600875', '600888', '600928', '600939', '600967', '600969', '600970', '600983', '600984', '601002', '601008', '601018', '601028', '601068', '601106', '601117', '601179', '601186', '601226', '601228', '601298', '601326', '601390', '601399', '601500', '601598', '601608', '601611', '601618', '601668', '601669', '601698', '601727', '601766', '601789', '601800', '601808', '601857', '601865', '601866', '601872', '601880', '601886', '601899', '601919', '601949', '601975', '601985', '601989', '603017', '603018', '603019', '603032', '603036', '603111', '603126', '603169', '603218', '603298', '603308', '603329', '603333', '603338', '603357', '603530', '603556', '603569', '603588', '603619', '603639', '603712', '603815', '603871', '603966', '603969', '603970', '605158', '688022', '688036', '688128', '688585']"
三板精选,"['000009', '000551', '000564', '000609', '000682', '000686', '002004', '002179', '002191', '002349', '002385', '002470', '002491', '300011', '600683', '603566']"
三网融合,"['000156', '000665', '000682', '000793', '000801', '000851', '000917', '002052', '002089', '002093', '002148', '002183', '002194', '002238', '002268', '002281', '002292', '002313', '002316', '002519', '002537', '300017', '300025', '300027', '300079', '300182', '300211', '300250', '300251', '300264', '300555', '300710', '600037', '600088', '600100', '600198', '600203', '600271', '600289', '600373', '600487', '600498', '600522', '600637', '600764', '600804', '600831', '600839', '600996', '601929', '601999', '603322']"
上海自贸,"['000739', '002183', '002210', '002401', '300226', '300240', '300330', '300642', '300899', '300999', '600009', '600018', '600026', '600061', '600097', '600115', '600119', '600151', '600170', '600272', '600278', '600284', '600611', '600621', '600626', '600628', '600630', '600637', '600639', '600643', '600648', '600650', '600655', '600663', '600676', '600679', '600689', '600695', '600708', '600732', '600748', '600754', '600818', '600822', '600826', '600836', '600848', '600895', '601607', '601866', '601872', '603003', '603009', '603128', '603329', '603565', '603648', '603659', '603713', '603918', '688063', '688099', '688118', '688123', '688180', '688336', '688368', '688521', '688680']"
上证180,"['600000', '600009', '600010', '600011', '600016', '600019', '600025', '600028', '600029', '600030', '600031', '600036', '600038', '600048', '600050', '600061', '600066', '600089', '600104', '600109', '600111', '600118', '600132', '600143', '600150', '600161', '600176', '600183', '600196', '600276', '600298', '600305', '600309', '600340', '600346', '600352', '600362', '600383', '600406', '600426', '600436', '600438', '600489', '600511', '600516', '600519', '600521', '600522', '600536', '600547', '600570', '600584', '600585', '600588', '600598', '600600', '600606', '600621', '600660', '600690', '600699', '600703', '600739', '600741', '600745', '600760', '600763', '600779', '600809', '600827', '600837', '600859', '600862', '600867', '600872', '600886', '600887', '600893', '600895', '600900', '600909', '600918', '600919', '600926', '600958', '600989', '600999', '601009', '601012', '601021', '601066', '601088', '601099', '601100', '601108', '601111', '601138', '601155', '601162', '601166', '601169', '601186', '601198', '601211', '601216', '601225', '601229', '601236', '601238', '601288', '601318', '601319', '601328', '601336', '601360', '601377', '601390', '601398', '601456', '601555', '601601', '601607', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601689', '601696', '601698', '601766', '601778', '601788', '601800', '601816', '601818', '601857', '601865', '601872', '601877', '601878', '601881', '601888', '601899', '601901', '601916', '601919', '601933', '601939', '601966', '601985', '601988', '601989', '601990', '601995', '603019', '603087', '603160', '603195', '603259', '603288', '603369', '603392', '603501', '603517', '603589', '603658', '603659', '603799', '603806', '603833', '603882', '603986', '603993', '688012', '688111', '688126', '688169']"
上证380,"['600007', '600008', '600015', '600018', '600020', '600021', '600026', '600027', '600039', '600056', '600057', '600062', '600070', '600072', '600073', '600075', '600079', '600094', '600095', '600120', '600125', '600131', '600141', '600153', '600160', '600167', '600170', '600171', '600177', '600185', '600188', '600197', '600206', '600210', '600211', '600216', '600219', '600223', '600233', '600236', '600252', '600256', '600258', '600273', '600282', '600284', '600285', '600295', '600299', '600315', '600316', '600323', '600325', '600326', '600329', '600332', '600337', '600338', '600348', '600350', '600363', '600368', '600369', '600372', '600373', '600376', '600377', '600378', '600380', '600388', '600392', '600395', '600409', '600415', '600420', '600422', '600446', '600452', '600459', '600460', '600466', '600477', '600483', '600486', '600487', '600491', '600498', '600502', '600507', '600510', '600529', '600531', '600548', '600549', '600556', '600559', '600562', '600563', '600565', '600566', '600567', '600577', '600580', '600582', '600583', '600587', '600596', '600597', '600611', '600612', '600639', '600641', '600642', '600643', '600648', '600655', '600657', '600663', '600667', '600668', '600673', '600674', '600682', '600685', '600688', '600694', '600704', '600705', '600711', '600720', '600728', '600729', '600738', '600740', '600742', '600748', '600750', '600754', '600755', '600764', '600765', '600776', '600782', '600787', '600795', '600801', '600802', '600803', '600808', '600811', '600820', '600823', '600835', '600845', '600846', '600848', '600850', '600863', '600874', '600879', '600885', '600903', '600917', '600933', '600956', '600966', '600967', '600968', '600970', '600971', '600975', '600984', '600985', '600988', '600993', '600998', '601000', '601003', '601016', '601018', '601019', '601058', '601069', '601098', '601117', '601128', '601139', '601158', '601187', '601200', '601222', '601231', '601233', '601298', '601311', '601330', '601333', '601512', '601567', '601577', '601598', '601611', '601615', '601636', '601666', '601686', '601699', '601717', '601727', '601789', '601799', '601801', '601808', '601811', '601827', '601828', '601838', '601858', '601866', '601869', '601908', '601949', '601952', '601958', '601965', '601992', '601997', '601998', '603000', '603008', '603010', '603012', '603018', '603027', '603039', '603043', '603053', '603056', '603060', '603068', '603077', '603108', '603113', '603118', '603121', '603127', '603128', '603129', '603180', '603185', '603187', '603197', '603198', '603208', '603218', '603225', '603228', '603233', '603236', '603258', '603260', '603267', '603279', '603283', '603290', '603298', '603301', '603305', '603313', '603317', '603327', '603338', '603345', '603355', '603357', '603360', '603363', '603367', '603368', '603378', '603387', '603393', '603416', '603421', '603429', '603444', '603456', '603466', '603486', '603489', '603505', '603508', '603515', '603520', '603533', '603556', '603565', '603568', '603583', '603587', '603588', '603596', '603598', '603599', '603600', '603601', '603605', '603606', '603609', '603610', '603613', '603626', '603638', '603639', '603650', '603666', '603678', '603680', '603681', '603686', '603687', '603690', '603707', '603708', '603711', '603712', '603713', '603728', '603730', '603733', '603737', '603766', '603786', '603801', '603808', '603816', '603858', '603866', '603868', '603871', '603881', '603883', '603885', '603887', '603888', '603899', '603915', '603916', '603919', '603920', '603927', '603939', '603956', '603960', '603982', '603985', '603989', '603997', '605009', '605099', '605108', '605136', '605168', '605199', '605222', '605266', '688002', '688006', '688008', '688019', '688026', '688036', '688088', '688122', '688139', '688166', '688188', '688202', '688208', '688298']"
上证50,"['600000', '600009', '600016', '600028', '600030', '600031', '600036', '600048', '600050', '600104', '600196', '600276', '600309', '600438', '600519', '600547', '600570', '600585', '600588', '600690', '600703', '600745', '600809', '600837', '600887', '600893', '600918', '601012', '601066', '601088', '601138', '601166', '601211', '601288', '601318', '601336', '601398', '601601', '601628', '601668', '601688', '601818', '601857', '601888', '601899', '601995', '603259', '603288', '603501', '603986']"
上证中盘,"['600010', '600011', '600019', '600025', '600029', '600038', '600061', '600066', '600089', '600109', '600111', '600118', '600132', '600143', '600150', '600161', '600176', '600183', '600298', '600305', '600340', '600346', '600352', '600362', '600383', '600406', '600426', '600436', '600489', '600511', '600516', '600521', '600522', '600536', '600584', '600598', '600600', '600606', '600621', '600660', '600699', '600739', '600741', '600760', '600763', '600779', '600827', '600859', '600862', '600867', '600872', '600886', '600895', '600900', '600909', '600919', '600926', '600958', '600989', '600999', '601009', '601021', '601099', '601100', '601108', '601111', '601155', '601162', '601169', '601186', '601198', '601216', '601225', '601229', '601236', '601238', '601319', '601328', '601360', '601377', '601390', '601456', '601555', '601607', '601618', '601633', '601658', '601669', '601689', '601696', '601698', '601766', '601778', '601788', '601800', '601816', '601865', '601872', '601877', '601878', '601881', '601901', '601916', '601919', '601933', '601939', '601966', '601985', '601988', '601989', '601990', '603019', '603087', '603160', '603195', '603369', '603392', '603517', '603589', '603658', '603659', '603799', '603806', '603833', '603882', '603993', '688012', '688111', '688126', '688169']"
上证创新,"['600016', '600018', '600066', '600098', '600118', '600166', '600184', '600223', '600257', '600268', '600271', '600315', '600378', '600405', '600418', '600435', '600458', '600461', '600466', '600497', '600498', '600510', '600549', '600550', '600578', '600582', '600583', '600586', '600588', '600621', '600633', '600682', '600690', '600699', '600707', '600717', '600718', '600748', '600754', '600756', '600827', '600839', '600866', '600929', '600968', '600980', '600990', '601038', '601126', '601128', '601139', '601208', '601228', '601519', '601608', '601669', '601798', '601880', '601929', '601958', '601965', '603019', '603050', '603060', '603078', '603083', '603123', '603160', '603283', '603299', '603308', '603366', '603390', '603535', '603536', '603666', '603668', '603718', '603721', '603737', '603787', '603833', '603879', '603893', '603916', '603956', '603959', '603977', '688003', '688007', '688011', '688022', '688108', '688122', '688177', '688202', '688266', '688278', '688321', '688389']"
上证治理,"['600000', '600004', '600006', '600008', '600011', '600012', '600017', '600018', '600019', '600021', '600022', '600023', '600026', '600027', '600028', '600029', '600031', '600033', '600035', '600036', '600048', '600050', '600059', '600060', '600061', '600062', '600063', '600064', '600066', '600067', '600085', '600089', '600094', '600098', '600104', '600109', '600113', '600115', '600116', '600118', '600123', '600125', '600126', '600135', '600138', '600141', '600150', '600153', '600160', '600161', '600170', '600171', '600173', '600176', '600177', '600183', '600188', '600195', '600196', '600206', '600210', '600223', '600233', '600256', '600261', '600262', '600266', '600269', '600271', '600282', '600284', '600285', '600309', '600323', '600325', '600327', '600335', '600337', '600350', '600362', '600367', '600371', '600373', '600376', '600377', '600383', '600386', '600389', '600400', '600406', '600409', '600428', '600435', '600436', '600449', '600456', '600458', '600459', '600460', '600468', '600483', '600486', '600488', '600489', '600495', '600497', '600498', '600500', '600502', '600508', '600510', '600511', '600517', '600522', '600527', '600528', '600533', '600535', '600547', '600548', '600549', '600551', '600557', '600560', '600566', '600580', '600582', '600583', '600585', '600588', '600597', '600600', '600611', '600620', '600628', '600633', '600635', '600637', '600642', '600649', '600657', '600658', '600660', '600663', '600674', '600685', '600688', '600690', '600708', '600727', '600737', '600741', '600743', '600748', '600750', '600755', '600761', '600780', '600787', '600795', '600798', '600808', '600835', '600839', '600841', '600850', '600875', '600879', '600880', '600886', '600887', '600888', '600895', '600900', '600917', '600919', '600958', '600977', '600980', '600987', '600990', '600992', '600993', '600995', '600997', '600999', '601000', '601006', '601007', '601008', '601009', '601018', '601019', '601058', '601068', '601088', '601098', '601100', '601111', '601117', '601126', '601128', '601139', '601158', '601163', '601166', '601186', '601199', '601211', '601222', '601229', '601231', '601238', '601318', '601328', '601333', '601336', '601369', '601390', '601398', '601555', '601588', '601598', '601601', '601607', '601608', '601616', '601618', '601619', '601628', '601668', '601669', '601727', '601766', '601800', '601808', '601818', '601838', '601857', '601866', '601868', '601869', '601877', '601882', '601898', '601899', '601919', '601928', '601939', '601952', '601958', '601965', '601966', '601985', '601988', '601989', '601990', '601991', '601998', '603000', '603013', '603016', '603018', '603025', '603027', '603040', '603060', '603110', '603131', '603181', '603239', '603288', '603320', '603323', '603337', '603365', '603444', '603515', '603568', '603587', '603588', '603656', '603658', '603668', '603682', '603693', '603706', '603757', '603767', '603788', '603866', '603883', '603917', '603937', '603960', '603993', '688028', '688068', '688310', '688389']"
上证混改,"['600011', '600018', '600027', '600028', '600029', '600050', '600072', '600096', '600104', '600115', '600125', '600150', '600161', '600171', '600176', '600185', '600248', '600258', '600406', '600416', '600418', '600420', '600456', '600483', '600511', '600519', '600552', '600559', '600585', '600606', '600639', '600685', '600704', '600705', '600708', '600729', '600737', '600787', '600795', '600827', '600859', '600886', '600893', '600963', '601111', '601333', '601611', '601669', '601857', '601958']"
上证红利,"['600016', '600019', '600023', '600028', '600048', '600066', '600104', '600153', '600177', '600188', '600282', '600325', '600327', '600350', '600376', '600377', '600383', '600395', '600398', '600548', '600565', '600585', '600603', '600688', '600704', '600741', '600808', '600823', '600873', '600971', '600985', '601003', '601006', '601009', '601088', '601166', '601169', '601288', '601328', '601398', '601566', '601636', '601818', '601939', '601988', '601998', '603156', '603167', '603328', '603858']"
