code,code,decimal_point,name,pre_close,sec,sse,volunit
399319,399319,2,资源优势,1289.1993408203,index_cn,sz,100
399320,399320,2,国证服务,1806.875,index_cn,sz,100
399321,399321,2,国证红利,6308.5874023438,index_cn,sz,100
399322,399322,2,国证治理,8304.697265625,index_cn,sz,100
399324,399324,2,深证红利,9269.689453125,index_cn,sz,100
399326,399326,2,成长40,5707.1958007812,index_cn,sz,100
399328,399328,2,深证治理,10019.8203125,index_cn,sz,100
399330,399330,2,深证100,4666.4077148438,index_cn,sz,100
399333,399333,2,中小板R,7802.0537109375,index_cn,sz,100
399335,399335,2,深证央企,3788.8916015625,index_cn,sz,100
399337,399337,2,深证民营,4640.6845703125,index_cn,sz,100
399339,399339,2,深证科技,6323.46484375,index_cn,sz,100
399341,399341,2,深证责任,1784.6784667969,index_cn,sz,100
399344,399344,2,深证300R,5419.7963867188,index_cn,sz,100
399346,399346,2,深证成长,3809.1708984375,index_cn,sz,100
399348,399348,2,深证价值,5907.1904296875,index_cn,sz,100
399350,399350,2,皖江30,1683.1771240234,index_cn,sz,100
399351,399351,2,创新示范,8509.6572265625,index_cn,sz,100
399352,399352,2,深企综指,7776.9086914062,index_cn,sz,100
399353,399353,2,国证物流,2160.7321777344,index_cn,sz,100
399354,399354,2,分析师指,6740.607421875,index_cn,sz,100
399355,399355,2,长三角,3303.2836914062,index_cn,sz,100
399356,399356,2,珠三角,9935.306640625,index_cn,sz,100
399357,399357,2,环渤海,2679.7888183594,index_cn,sz,100
399358,399358,2,国证环保,2925.8254394531,index_cn,sz,100
399359,399359,2,国证基建,2289.5844726562,index_cn,sz,100
399360,399360,2,新硬件,3763.2687988281,index_cn,sz,100
399361,399361,2,在线消费,4658.9609375,index_cn,sz,100
399362,399362,2,民企100,6484.3129882812,index_cn,sz,100
399363,399363,2,云科技,4649.32421875,index_cn,sz,100
399364,399364,2,消费100,8919.873046875,index_cn,sz,100
399365,399365,2,国证农业,12621.5322265625,index_cn,sz,100
399366,399366,2,国证大宗,1707.9404296875,index_cn,sz,100
399367,399367,2,1000地产,5337.1181640625,index_cn,sz,100
399368,399368,2,国证军工,5694.9926757812,index_cn,sz,100
399369,399369,2,国证责任,1478.1135253906,index_cn,sz,100
399370,399370,2,国证成长,4092.8344726562,index_cn,sz,100
399371,399371,2,国证价值,5593.9619140625,index_cn,sz,100
399372,399372,2,大盘成长,4200.9067382812,index_cn,sz,100
399373,399373,2,大盘价值,6877.9619140625,index_cn,sz,100
399374,399374,2,中盘成长,4251.02734375,index_cn,sz,100
399375,399375,2,中盘价值,4576.3056640625,index_cn,sz,100
399376,399376,2,小盘成长,4542.9409179688,index_cn,sz,100
399377,399377,2,小盘价值,5103.72265625,index_cn,sz,100
399378,399378,2,国证低碳,2252.7026367188,index_cn,sz,100
399379,399379,2,国证基金,6726.6518554688,index_cn,sz,100
399380,399380,2,国证ETF,1342.3717041016,index_cn,sz,100
399381,399381,2,1000能源,1597.2365722656,index_cn,sz,100
399382,399382,2,1000材料,1988.2016601562,index_cn,sz,100
399383,399383,2,1000工业,2093.5024414062,index_cn,sz,100
399384,399384,2,1000可选,3062.4150390625,index_cn,sz,100
399385,399385,2,1000消费,11009.0888671875,index_cn,sz,100
399386,399386,2,1000医药,8065.740234375,index_cn,sz,100
399387,399387,2,1000金融,4684.0932617188,index_cn,sz,100
399388,399388,2,1000信息,4253.3037109375,index_cn,sz,100
399389,399389,2,国证通信,3927.9509277344,index_cn,sz,100
399390,399390,2,1000公用,1873.1794433594,index_cn,sz,100
399391,399391,2,投资时钟,2780.1486816406,index_cn,sz,100
399392,399392,2,国证新兴,2178.2412109375,index_cn,sz,100
399393,399393,2,国证地产,5716.552734375,index_cn,sz,100
399394,399394,2,国证医药,12316.7001953125,index_cn,sz,100
399395,399395,2,国证有色,3139.40234375,index_cn,sz,100
399396,399396,2,国证食品,19035.583984375,index_cn,sz,100
399397,399397,2,国证文化,2001.494140625,index_cn,sz,100
399398,399398,2,绩效指数,9100.716796875,index_cn,sz,100
