,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
309,sz399317,国证Ａ指,5617.93,100.121,1.815,5517.809,5537.816,5623.955,5537.816,40092539702,482866156780
310,sz399318,国证Ｂ指,4077.234,25.246,0.623,4051.988,4051.735,4078.76,4049.06,22936216,107880542
311,sz399319,资源优势,1810.229,25.627,1.436,1784.602,1784.62,1813.654,1782.214,3421989936,25785601318
312,sz399320,国证服务,2187.758,42.339,1.973,2145.419,2151.205,2192.022,2151.205,3252418684,25615638686
313,sz399321,国证红利,7955.821,102.574,1.306,7853.247,7897.854,7974.8,7879.342,2258275966,44552598518
314,sz399322,国证治理,11248.958,224.338,2.035,11024.62,11089.32,11265.92,11089.32,1324868967,40292222408
315,sz399324,深证红利,13313.419,264.251,2.025,13049.168,13150.591,13341.992,13118.238,1332830091,30826173209
316,sz399326,成长40,7053.81,241.56,3.546,6812.25,6872.27,7067.095,6859.094,657894171,19496542643
317,sz399328,深证治理,13843.922,355.805,2.638,13488.117,13601.399,13863.118,13592.482,725062983,30120935426
318,sz399330,深证100,6598.099,181.761,2.833,6416.338,6464.178,6608.212,6464.178,3109244650,90498574919
319,sz399333,中小板R,10149.902,254.651,2.573,9895.251,9946.283,10167.229,9942.943,2321538063,48897865044
320,sz399335,深证央企,4691.469,91.53,1.99,4599.939,4622.072,4696.918,4618.391,885227561,10342833824
