time,pro_loss,orders
2022/08/10-22:10,-36.0,-1
2022/08/10-22:20,-40.0,1
2022/08/10-22:35,-40.0,-1
2022/08/10-09:20,24.0,1
2022/08/10-10:15,24.0,-1
2022/08/10-13:45,-44.0,1
2022/08/10-13:50,-44.0,-1
2022/08/10-14:10,4.0,1
2022/08/10-14:40,4.0,-1
2022/08/10-14:50,-36.0,1
2022/08/10-15:00,-36.0,-1
2022/08/11-21:05,-32.0,1
2022/08/11-21:15,-32.0,-1
2022/08/11-22:55,112.0,1
2022/08/11-09:55,112.0,-1
2022/08/11-10:15,-40.0,1
2022/08/11-10:40,-40.0,-1
2022/08/11-11:10,-28.0,1
2022/08/11-11:30,-28.0,-1
2022/08/11-13:40,36.0,1
2022/08/11-14:10,36.0,-1
2022/08/11-14:25,64.0,1
2022/08/12-21:15,64.0,-1
2022/08/12-22:20,-60.0,1
2022/08/12-22:30,-60.0,-1
2022/08/12-22:35,48.0,1
2022/08/12-09:45,48.0,-1
2022/08/12-10:55,-40.0,1
2022/08/12-11:00,-40.0,-1
2022/08/12-11:15,32.0,1
2022/08/12-13:45,32.0,-1
2022/08/12-14:20,-16.0,1
2022/08/15-21:05,-16.0,-1
2022/08/15-21:10,-12.0,1
2022/08/15-21:40,-12.0,-1
2022/08/15-21:50,-32.0,1
2022/08/15-22:05,-32.0,-1
2022/08/15-22:25,8.0,1
2022/08/15-22:50,8.0,-1
2022/08/15-23:00,-32.0,1
2022/08/15-09:05,-32.0,-1
2022/08/15-09:30,-36.0,1
2022/08/15-09:55,-36.0,-1
2022/08/15-10:00,-68.0,1
2022/08/15-10:05,-68.0,-1
2022/08/15-11:15,-52.0,1
2022/08/15-11:25,-52.0,-1
2022/08/15-13:45,-88.0,1
2022/08/15-13:55,-88.0,-1
2022/08/15-14:30,-104.0,1
2022/08/16-21:05,-104.0,-1
2022/08/16-21:40,-44.0,1
2022/08/16-21:45,-44.0,-1
2022/08/16-22:15,-16.0,1
2022/08/16-22:40,-16.0,-1
2022/08/16-22:45,184.0,1
2022/08/16-10:10,184.0,-1
2022/08/16-11:10,-20.0,1
2022/08/16-13:35,-20.0,-1
2022/08/16-13:55,-56.0,1
2022/08/16-14:25,-56.0,-1
2022/08/17-21:05,-48.0,1
2022/08/17-21:20,-48.0,-1
2022/08/17-21:50,-60.0,1
2022/08/17-22:00,-60.0,-1
2022/08/17-22:25,-60.0,1
2022/08/17-09:05,-60.0,-1
2022/08/17-09:25,-76.0,1
2022/08/17-09:35,-76.0,-1
2022/08/17-13:40,44.0,1
2022/08/17-14:15,44.0,-1
2022/08/18-22:15,20.0,1
2022/08/18-22:45,20.0,-1
2022/08/18-09:05,-8.0,1
2022/08/18-09:55,-8.0,-1
2022/08/18-11:10,-32.0,1
2022/08/18-11:25,-32.0,-1
2022/08/18-11:30,72.0,1
2022/08/18-13:45,72.0,-1
2022/08/19-21:05,-24.0,1
2022/08/19-21:25,-24.0,-1
2022/08/19-21:30,-36.0,1
2022/08/19-21:45,-36.0,-1
2022/08/19-22:30,-36.0,1
2022/08/19-22:35,-36.0,-1
2022/08/19-22:55,4.0,1
2022/08/19-09:20,4.0,-1
2022/08/19-09:45,-40.0,1
2022/08/19-09:50,-40.0,-1
2022/08/19-10:15,88.0,1
2022/08/19-11:10,88.0,-1
2022/08/19-11:30,-80.0,1
2022/08/19-13:35,-80.0,-1
2022/08/22-21:10,-68.0,1
2022/08/22-21:15,-68.0,-1
2022/08/22-21:25,124.0,1
2022/08/22-22:30,124.0,-1
2022/08/22-09:30,40.0,1
2022/08/22-10:35,40.0,-1
2022/08/22-10:50,36.0,1
2022/08/22-11:30,36.0,-1
2022/08/22-14:00,-36.0,1
2022/08/22-14:05,-36.0,-1
2022/08/22-14:10,-12.0,1
2022/08/22-14:35,-12.0,-1
2022/08/22-14:45,-48.0,1
2022/08/23-21:10,-48.0,-1
2022/08/23-22:10,0.0,1
2022/08/23-22:40,0.0,-1
2022/08/23-22:45,136.0,1
2022/08/23-09:05,136.0,-1
2022/08/23-10:40,-32.0,1
2022/08/23-10:50,-32.0,-1
2022/08/23-11:10,-36.0,1
2022/08/23-13:35,-36.0,-1
2022/08/23-14:05,-48.0,1
2022/08/23-14:20,-48.0,-1
2022/08/23-14:45,16.0,1
2022/08/24-21:10,16.0,-1
2022/08/24-21:15,100.0,1
2022/08/24-22:50,100.0,-1
2022/08/24-10:55,-8.0,1
2022/08/24-11:30,-8.0,-1
