,v3_strength,mv13_ratio,bsp,zig,peak,p_pos,valley,p_v_value,v_pos,z_pos,dw_pct_prev,up_pct_prev,z_pct_prev,z_len_prev,z_pct_prev_avg,up_pct_avg,up_pct_avg_k,dw_pct_avg,dw_pct_avg_k,zig_pct_curr,zig_pct_curr_avg_k,zig_pct_avg,zig_pct_avg_k
3562,1.3660397469881207,0.6143166363197206,1.703,0,3828.0,7,3797.0,3828.0,39,7,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-0.7314524555903867,-0.09143155694879834,-1.2868954166666668,0.07201704003813154
3563,2.2304076399985138,0.7384181548079247,2.579,0,3828.0,8,3797.0,3828.0,40,8,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.1233019853709503,-0.12481133170788336,-1.2868954166666668,0.07201704003813154
3564,1.9399154018754532,0.8633713727801681,2.399,0,3828.0,9,3797.0,3828.0,41,9,0.0,0.8164,0.8164,31.0,0.026335483870967742,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,-1.227795193312431,-0.12277951933124309,-1.2868954166666668,0.07201704003813154
3565,3.350714498244725,1.077593622756208,3.663,-1,3828.0,10,3760.0,3760.0,0,0,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.0,0.0,1.2261912863070539,0.07201704003813154
3566,1.7862546927179603,1.1739035137937917,6.05,0,3828.0,11,3760.0,3760.0,1,1,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.026595744680846245,0.013297872340423122,1.2261912863070539,0.07201704003813154
3567,1.3217700805741934,1.2133540265115113,1.237,0,3828.0,12,3760.0,3760.0,2,2,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.4787234042553212,0.15957446808510709,1.2261912863070539,0.07201704003813154
3568,1.929270890152991,1.3186055682793394,1.67,0,3828.0,13,3760.0,3760.0,3,3,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.13297872340425343,0.03324468085106336,1.2261912863070539,0.07201704003813154
3569,1.395842439774584,1.3893504911695396,1.218,0,3828.0,14,3760.0,3760.0,4,4,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.2393617021276606,0.04787234042553212,1.2261912863070539,0.07201704003813154
3570,1.1762649932480738,1.4405938089033385,0.99,0,3828.0,15,3760.0,3760.0,5,5,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.4787234042553212,0.07978723404255354,1.2261912863070539,0.07201704003813154
3571,1.0055788182013687,1.4808152155078715,2.759,0,3828.0,16,3760.0,3760.0,6,6,-1.7764,0.0,-1.7764,9.0,-0.19737777777777776,1.2261912863070539,0.06972914110429447,-1.2868954166666668,-0.07435120365912375,0.5319148936170137,0.07598784194528767,1.2261912863070539,0.07201704003813154
